depmap_id,rna_expression,entrez_id,gene_name,cell_line_name,primary_disease,lineage,lineage_subtype,hover.string
ACH-001113,6.25001411501037,1017,CDK2,LC-1/sq-SF,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> LC-1/sq-SF</br><b>log2(TPM+1):</b>  6.250</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-001289,5.856985689782205,1017,CDK2,COG-AR-359,Rhabdoid,soft_tissue,ATRT,</br><b>Cell Line:</b> COG-AR-359</br><b>log2(TPM+1):</b>  5.857</br><b>Lineage:</b> soft_tissue</br><b>Disease:</b> Rhabdoid
ACH-001339,7.004276655877934,1017,CDK2,Colo 794,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> Colo 794</br><b>log2(TPM+1):</b>  7.004</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
ACH-001538,4.851499202461257,1017,CDK2,KKU-213,Bile Duct Cancer,bile_duct,cholangiocarcinoma,</br><b>Cell Line:</b> KKU-213</br><b>log2(TPM+1):</b>  4.851</br><b>Lineage:</b> bile_duct</br><b>Disease:</b> Bile Duct Cancer
ACH-000242,6.600804954989473,1017,CDK2,RT4,Bladder Cancer,urinary_tract,bladder_carcinoma,</br><b>Cell Line:</b> RT4</br><b>log2(TPM+1):</b>  6.601</br><b>Lineage:</b> urinary_tract</br><b>Disease:</b> Bladder Cancer
ACH-000708,5.888986721186558,1017,CDK2,SNU-283,Colon/Colorectal Cancer,colorectal,colorectal_adenocarcinoma,</br><b>Cell Line:</b> SNU-283</br><b>log2(TPM+1):</b>  5.889</br><b>Lineage:</b> colorectal</br><b>Disease:</b> Colon/Colorectal Cancer
ACH-000327,3.418189947945766,1017,CDK2,NCI-H1395,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> NCI-H1395</br><b>log2(TPM+1):</b>  3.418</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000233,6.105384749247602,1017,CDK2,DEL,Lymphoma,lymphocyte,non_hodgkin_lymphoma,</br><b>Cell Line:</b> DEL</br><b>log2(TPM+1):</b>  6.105</br><b>Lineage:</b> lymphocyte</br><b>Disease:</b> Lymphoma
ACH-000461,5.358255586705128,1017,CDK2,SNU-1196,Bile Duct Cancer,bile_duct,cholangiocarcinoma,</br><b>Cell Line:</b> SNU-1196</br><b>log2(TPM+1):</b>  5.358</br><b>Lineage:</b> bile_duct</br><b>Disease:</b> Bile Duct Cancer
ACH-000705,5.745506265869159,1017,CDK2,LC-1F,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> LC-1F</br><b>log2(TPM+1):</b>  5.746</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-001794,5.396433531250992,1017,CDK2,93T449,Liposarcoma,soft_tissue,liposarcoma,</br><b>Cell Line:</b> 93T449</br><b>log2(TPM+1):</b>  5.396</br><b>Lineage:</b> soft_tissue</br><b>Disease:</b> Liposarcoma
ACH-002023,5.274634402517586,1017,CDK2,TGBC18TKB,Colon/Colorectal Cancer,colorectal,colorectal_adenocarcinoma,</br><b>Cell Line:</b> TGBC18TKB</br><b>log2(TPM+1):</b>  5.275</br><b>Lineage:</b> colorectal</br><b>Disease:</b> Colon/Colorectal Cancer
ACH-000528,7.069745123799029,1017,CDK2,ABC-1,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> ABC-1</br><b>log2(TPM+1):</b>  7.070</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-001655,4.852498298789891,1017,CDK2,SKN,Endometrial/Uterine Cancer,uterus,endometrial_squamous,</br><b>Cell Line:</b> SKN</br><b>log2(TPM+1):</b>  4.852</br><b>Lineage:</b> uterus</br><b>Disease:</b> Endometrial/Uterine Cancer
ACH-000167,5.73579292798531,1017,CDK2,KE-97,Myeloma,plasma_cell,multiple_myeloma,</br><b>Cell Line:</b> KE-97</br><b>log2(TPM+1):</b>  5.736</br><b>Lineage:</b> plasma_cell</br><b>Disease:</b> Myeloma
ACH-000792,5.813524689297811,1017,CDK2,BFTC-909,Kidney Cancer,kidney,renal_cell_carcinoma,</br><b>Cell Line:</b> BFTC-909</br><b>log2(TPM+1):</b>  5.814</br><b>Lineage:</b> kidney</br><b>Disease:</b> Kidney Cancer
ACH-001098,5.087038456766948,1017,CDK2,KCI-MOH1,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> KCI-MOH1</br><b>log2(TPM+1):</b>  5.087</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000570,5.732811872082943,1017,CDK2,YKG1,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> YKG1</br><b>log2(TPM+1):</b>  5.733</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
ACH-000351,5.517275693209582,1017,CDK2,MKN1,Gastric Cancer,gastric,gastric_adenocarcinoma,</br><b>Cell Line:</b> MKN1</br><b>log2(TPM+1):</b>  5.517</br><b>Lineage:</b> gastric</br><b>Disease:</b> Gastric Cancer
ACH-000769,6.801417365865913,1017,CDK2,LK-2,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> LK-2</br><b>log2(TPM+1):</b>  6.801</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000154,5.294620748891627,1017,CDK2,HS888T,Fibroblast,fibroblast,fibroblast_bone,</br><b>Cell Line:</b> HS888T</br><b>log2(TPM+1):</b>  5.295</br><b>Lineage:</b> fibroblast</br><b>Disease:</b> Fibroblast
ACH-000828,5.051372101721025,1017,CDK2,ZR-75-30,Breast Cancer,breast,breast_ductal_carcinoma,</br><b>Cell Line:</b> ZR-75-30</br><b>log2(TPM+1):</b>  5.051</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
ACH-000421,6.13360462289506,1017,CDK2,SW837,Colon/Colorectal Cancer,colorectal,colorectal_adenocarcinoma,</br><b>Cell Line:</b> SW837</br><b>log2(TPM+1):</b>  6.134</br><b>Lineage:</b> colorectal</br><b>Disease:</b> Colon/Colorectal Cancer
ACH-000765,7.689788363693447,1017,CDK2,WM-983B,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> WM-983B</br><b>log2(TPM+1):</b>  7.690</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
ACH-001375,5.426600226169925,1017,CDK2,PACADD-119,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> PACADD-119</br><b>log2(TPM+1):</b>  5.427</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000008,6.7564896067599705,1017,CDK2,A101D,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> A101D</br><b>log2(TPM+1):</b>  6.756</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
ACH-001814,5.823494624712857,1017,CDK2,OS252,Bone Cancer,bone,osteosarcoma,</br><b>Cell Line:</b> OS252</br><b>log2(TPM+1):</b>  5.823</br><b>Lineage:</b> bone</br><b>Disease:</b> Bone Cancer
ACH-000800,6.43095427138573,1017,CDK2,NCI-H446,Lung Cancer,lung,SCLC,</br><b>Cell Line:</b> NCI-H446</br><b>log2(TPM+1):</b>  6.431</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000606,5.292045492492862,1017,CDK2,PE/CA-PJ34 (clone C12),Head and Neck Cancer,upper_aerodigestive,upper_aerodigestive_squamous,</br><b>Cell Line:</b> PE/CA-PJ34 (clone C12)</br><b>log2(TPM+1):</b>  5.292</br><b>Lineage:</b> upper_aerodigestive</br><b>Disease:</b> Head and Neck Cancer
ACH-000317,4.942045259916046,1017,CDK2,TUHR14TKB,Kidney Cancer,kidney,renal_cell_carcinoma,</br><b>Cell Line:</b> TUHR14TKB</br><b>log2(TPM+1):</b>  4.942</br><b>Lineage:</b> kidney</br><b>Disease:</b> Kidney Cancer
ACH-000123,5.9595383411126495,1017,CDK2,COV434,Ovarian Cancer,ovary,ovary_adenocarcinoma,</br><b>Cell Line:</b> COV434</br><b>log2(TPM+1):</b>  5.960</br><b>Lineage:</b> ovary</br><b>Disease:</b> Ovarian Cancer
ACH-000723,5.204375511319093,1017,CDK2,YD-10B,Head and Neck Cancer,upper_aerodigestive,upper_aerodigestive_squamous,</br><b>Cell Line:</b> YD-10B</br><b>log2(TPM+1):</b>  5.204</br><b>Lineage:</b> upper_aerodigestive</br><b>Disease:</b> Head and Neck Cancer
ACH-002066,7.6303035332750175,1017,CDK2,HS-Sch-2,Sarcoma,central_nervous_system,MPNST,</br><b>Cell Line:</b> HS-Sch-2</br><b>log2(TPM+1):</b>  7.630</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Sarcoma
ACH-001536,3.2016338611696504,1017,CDK2,KKU-100,Bile Duct Cancer,bile_duct,cholangiocarcinoma,</br><b>Cell Line:</b> KKU-100</br><b>log2(TPM+1):</b>  3.202</br><b>Lineage:</b> bile_duct</br><b>Disease:</b> Bile Duct Cancer
ACH-000313,5.412781525338476,1017,CDK2,KMRC-3,Kidney Cancer,kidney,renal_cell_carcinoma,</br><b>Cell Line:</b> KMRC-3</br><b>log2(TPM+1):</b>  5.413</br><b>Lineage:</b> kidney</br><b>Disease:</b> Kidney Cancer
ACH-002019,5.971313624068879,1017,CDK2,HOKUG,Cervical Cancer,cervix,glassy_cell_carcinoma,</br><b>Cell Line:</b> HOKUG</br><b>log2(TPM+1):</b>  5.971</br><b>Lineage:</b> cervix</br><b>Disease:</b> Cervical Cancer
