depmap_id,log_copy_number,entrez_id,gene_name,cell_line_name,primary_disease,lineage,lineage_subtype,hover.string
ACH-001533,1.005510483825711,1017,CDK2,KARPAS 1718,Lymphoma,lymphocyte,non_hodgkin_lymphoma,</br><b>Cell Line:</b> KARPAS 1718</br><b>log2(Copy Number):</b> 1.006</br><b>Lineage:</b> lymphocyte</br><b>Disease:</b> Lymphoma
ACH-000934,1.1112161678704722,1017,CDK2,MDA-MB-361,Breast Cancer,breast,breast_carcinoma,</br><b>Cell Line:</b> MDA-MB-361</br><b>log2(Copy Number):</b> 1.111</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
ACH-000653,0.8218558409211857,1017,CDK2,JJN-3,Myeloma,plasma_cell,multiple_myeloma,</br><b>Cell Line:</b> JJN-3</br><b>log2(Copy Number):</b> 0.822</br><b>Lineage:</b> plasma_cell</br><b>Disease:</b> Myeloma
ACH-001497,1.033211689904702,1017,CDK2,ESO51,Esophageal Cancer,esophagus,esophagus_adenocarcinoma,</br><b>Cell Line:</b> ESO51</br><b>log2(Copy Number):</b> 1.033</br><b>Lineage:</b> esophagus</br><b>Disease:</b> Esophageal Cancer
ACH-000888,1.1646294154474592,1017,CDK2,NCI-H1793,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> NCI-H1793</br><b>log2(Copy Number):</b> 1.165</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000433,1.0835530908806057,1017,CDK2,Caki-1,Kidney Cancer,kidney,renal_cell_carcinoma,</br><b>Cell Line:</b> Caki-1</br><b>log2(Copy Number):</b> 1.084</br><b>Lineage:</b> kidney</br><b>Disease:</b> Kidney Cancer
ACH-002004,1.0329938582435905,1017,CDK2,UACC62 SKIN CJ1,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> UACC62 SKIN CJ1</br><b>log2(Copy Number):</b> 1.033</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
ACH-000717,1.019951072374938,1017,CDK2,COLO-680N,Esophageal Cancer,esophagus,esophagus_squamous,</br><b>Cell Line:</b> COLO-680N</br><b>log2(Copy Number):</b> 1.020</br><b>Lineage:</b> esophagus</br><b>Disease:</b> Esophageal Cancer
ACH-002154,0.9631066360097652,1017,CDK2,LB647-SCLC,Lung Cancer,lung,SCLC,</br><b>Cell Line:</b> LB647-SCLC</br><b>log2(Copy Number):</b> 0.963</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-002200,0.9249388436777076,1017,CDK2,SW962,Skin Cancer,skin,NA,</br><b>Cell Line:</b> SW962</br><b>log2(Copy Number):</b> 0.925</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
ACH-000633,1.0461915870860994,1017,CDK2,FU97,Gastric Cancer,gastric,gastric_adenocarcinoma,</br><b>Cell Line:</b> FU97</br><b>log2(Copy Number):</b> 1.046</br><b>Lineage:</b> gastric</br><b>Disease:</b> Gastric Cancer
ACH-000568,1.0949776837578948,1017,CDK2,UACC-812,Breast Cancer,breast,breast_ductal_carcinoma,</br><b>Cell Line:</b> UACC-812</br><b>log2(Copy Number):</b> 1.095</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
ACH-001674,1.159126932251295,1017,CDK2,TGW,Neuroblastoma,peripheral_nervous_system,neuroblastoma,</br><b>Cell Line:</b> TGW</br><b>log2(Copy Number):</b> 1.159</br><b>Lineage:</b> peripheral_nervous_system</br><b>Disease:</b> Neuroblastoma
