depmap_id,dependency,entrez_id,gene_name,dataset,cell_line_name,primary_disease,lineage,lineage_subtype,hover.string
ACH-000001,-1.5791071175753273,1017,CDK2,CRISPR,NIH:OVCAR-3,Ovarian Cancer,ovary,ovary_adenocarcinoma,</br><b>Cell Line:</b> NIH:OVCAR-3</br><b>Dependency:</b> -1.579</br><b>Lineage:</b> ovary</br><b>Disease:</b> Ovarian Cancer
ACH-000004,-0.6119391464880369,1017,CDK2,CRISPR,HEL,Leukemia,blood,AML,</br><b>Cell Line:</b> HEL</br><b>Dependency:</b> -0.612</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-000005,-0.9400777174317612,1017,CDK2,CRISPR,HEL 92.1.7,Leukemia,blood,AML,</br><b>Cell Line:</b> HEL 92.1.7</br><b>Dependency:</b> -0.940</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-000007,-0.806466191148085,1017,CDK2,CRISPR,LS513,Colon/Colorectal Cancer,colorectal,colorectal_adenocarcinoma,</br><b>Cell Line:</b> LS513</br><b>Dependency:</b> -0.806</br><b>Lineage:</b> colorectal</br><b>Disease:</b> Colon/Colorectal Cancer
ACH-000009,-0.4463631037510816,1017,CDK2,CRISPR,C2BBe1,Colon/Colorectal Cancer,colorectal,colorectal_adenocarcinoma,</br><b>Cell Line:</b> C2BBe1</br><b>Dependency:</b> -0.446</br><b>Lineage:</b> colorectal</br><b>Disease:</b> Colon/Colorectal Cancer
ACH-000011,-0.15457994455659496,1017,CDK2,CRISPR,253J,Bladder Cancer,urinary_tract,bladder_carcinoma,</br><b>Cell Line:</b> 253J</br><b>Dependency:</b> -0.155</br><b>Lineage:</b> urinary_tract</br><b>Disease:</b> Bladder Cancer
ACH-000012,-0.5491824401906739,1017,CDK2,CRISPR,HCC827,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> HCC827</br><b>Dependency:</b> -0.549</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000013,-1.4131737017148072,1017,CDK2,CRISPR,ONCO-DG-1,Ovarian Cancer,ovary,ovary_adenocarcinoma,</br><b>Cell Line:</b> ONCO-DG-1</br><b>Dependency:</b> -1.413</br><b>Lineage:</b> ovary</br><b>Disease:</b> Ovarian Cancer
ACH-000014,-0.2969075300016234,1017,CDK2,CRISPR,Hs 294T,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> Hs 294T</br><b>Dependency:</b> -0.297</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
ACH-000015,-0.6456171946258128,1017,CDK2,CRISPR,NCI-H1581,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> NCI-H1581</br><b>Dependency:</b> -0.646</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000017,-0.7244606088727241,1017,CDK2,CRISPR,SK-BR-3,Breast Cancer,breast,breast_carcinoma,</br><b>Cell Line:</b> SK-BR-3</br><b>Dependency:</b> -0.724</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
ACH-000018,-0.8610268506247065,1017,CDK2,CRISPR,T24,Bladder Cancer,urinary_tract,bladder_carcinoma,</br><b>Cell Line:</b> T24</br><b>Dependency:</b> -0.861</br><b>Lineage:</b> urinary_tract</br><b>Disease:</b> Bladder Cancer
ACH-000019,-0.5317844863133191,1017,CDK2,CRISPR,MCF7,Breast Cancer,breast,breast_carcinoma,</br><b>Cell Line:</b> MCF7</br><b>Dependency:</b> -0.532</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
ACH-000021,-0.35265741652470395,1017,CDK2,CRISPR,NCI-H1693,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> NCI-H1693</br><b>Dependency:</b> -0.353</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000022,-0.4017475628847233,1017,CDK2,CRISPR,PA-TU-8988S,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> PA-TU-8988S</br><b>Dependency:</b> -0.402</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000023,-0.616764387259965,1017,CDK2,CRISPR,PA-TU-8988T,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> PA-TU-8988T</br><b>Dependency:</b> -0.617</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000024,-0.4994014267266296,1017,CDK2,CRISPR,OPM-2,Myeloma,plasma_cell,multiple_myeloma,</br><b>Cell Line:</b> OPM-2</br><b>Dependency:</b> -0.499</br><b>Lineage:</b> plasma_cell</br><b>Disease:</b> Myeloma
ACH-000025,-0.4148469795085389,1017,CDK2,CRISPR,CH-157MN,Brain Cancer,central_nervous_system,meningioma,</br><b>Cell Line:</b> CH-157MN</br><b>Dependency:</b> -0.415</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
ACH-000028,-0.4032614815366251,1017,CDK2,CRISPR,KPL-1,Breast Cancer,breast,breast_carcinoma,</br><b>Cell Line:</b> KPL-1</br><b>Dependency:</b> -0.403</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
ACH-000029,-0.8271366261271419,1017,CDK2,CRISPR,HCC-827-GR5,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> HCC-827-GR5</br><b>Dependency:</b> -0.827</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000030,-0.43896513498106815,1017,CDK2,CRISPR,PC-14,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> PC-14</br><b>Dependency:</b> -0.439</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000035,-0.9337229804926146,1017,CDK2,CRISPR,NCI-H1650,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> NCI-H1650</br><b>Dependency:</b> -0.934</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
