Gene	sgRNA	HL60|beta	HL60|z	HL60|p-value	HL60|fdr	HL60|wald-p-value	HL60|wald-fdr	KBM7|beta	KBM7|z	KBM7|p-value	KBM7|fdr	KBM7|wald-p-value	KBM7|wald-fdr
ABCF1	10	0.076636	0.47746	0.517	0.8931	0.63303	0.87029	-0.078629	-0.48979	0.878	0.95022	0.62428	0.76067
ABLIM2	10	0.051654	0.46301	0.639	0.94428	0.64336	0.87779	0.22396	2.0099	0.129	0.40062	0.044442	0.16102
ABTB1	10	-0.011437	-0.090839	0.917	0.97761	0.92762	0.98136	0.083712	0.66495	0.462	0.7075	0.50609	0.6839
ACAD9	10	0.010165	0.066865	0.829	0.94921	0.94669	0.98707	-0.11912	-0.78346	0.725	0.86826	0.43336	0.619
ACSS2	10	0.19223	1.3395	0.161	0.62642	0.18042	0.53777	0.35973	2.5067	0.015	0.12598	0.012185	0.069789
ACTR8	10	-0.72593	-3.3394	0	0	0.00083961	0.042946	-0.83628	-3.8465	0.002	0.034483	0.0001198	0.0019639
ACVR2A	10	-0.019441	-0.14021	0.949	0.98351	0.88849	0.97339	0.28868	2.0831	0.052	0.25616	0.037244	0.14492
ACVRL1	10	0.25	2.3426	0.086	0.5375	0.019152	0.21639	0.11554	1.0827	0.371	0.65317	0.27895	0.48163
ADAM10	10	-0.080327	-0.72078	0.779	0.94921	0.47105	0.79809	-0.010474	-0.094058	0.839	0.93326	0.92506	0.9626
ADAM12	10	0.045609	0.33466	0.665	0.9478	0.73788	0.91144	0.20214	1.4852	0.154	0.43258	0.1375	0.3205
ADARB1	10	0.18863	1.3422	0.167	0.62782	0.17952	0.53748	0.16259	1.1571	0.236	0.53452	0.24723	0.45364
ADCY1	10	0.10993	0.75469	0.382	0.81624	0.45043	0.78885	0.023024	0.15806	0.703	0.86683	0.87441	0.9332
AFAP1L2	10	0.21593	1.9946	0.133	0.59912	0.046091	0.30323	0.15965	1.4748	0.242	0.53778	0.14027	0.32546
AFF4	10	0.042727	0.28888	0.674	0.9478	0.77268	0.92968	0.34722	2.349	0.018	0.13139	0.018826	0.095563
AIMP1	10	0.20116	0.89966	0.149	0.62041	0.3683	0.73221	0.13084	0.58524	0.333	0.62712	0.55839	0.71772
AKNA	10	0.17478	0.87702	0.199	0.67003	0.38047	0.74474	0.32808	1.6467	0.029	0.18954	0.099617	0.26923
ALKBH8	10	-0.13961	-0.8237	0.526	0.89608	0.41011	0.76656	0.24624	1.455	0.09	0.33708	0.14567	0.33106
ANG	10	0.01361	0.10747	0.808	0.94921	0.91442	0.97769	-0.1199	-0.9466	0.722	0.86826	0.34385	0.54199
ANKRD28	10	0.095101	0.99008	0.439	0.86417	0.32213	0.68143	0.093649	0.97502	0.434	0.6944	0.32955	0.52895
ANKRD49	10	0.19429	1.1086	0.159	0.62598	0.2676	0.63713	-0.16019	-0.91317	0.576	0.78755	0.36115	0.55734
ANLN	10	-0.27318	-1.5785	0.185	0.65493	0.11446	0.45421	-0.61007	-3.5193	0.013	0.11504	0.00043273	0.0056199
AP5Z1	10	0.076347	0.46682	0.518	0.8931	0.64063	0.87637	0.17279	1.057	0.214	0.51905	0.29051	0.4924
APAF1	10	0.081832	0.63267	0.498	0.88929	0.52695	0.82079	0.18315	1.4173	0.195	0.49118	0.15639	0.34222
APEX1	10	-0.037956	-0.28568	0.972	0.98682	0.77512	0.92968	-0.4422	-3.324	0.076	0.32016	0.00088745	0.0098606
APOA1	10	0.12731	1.2091	0.327	0.78417	0.22663	0.5937	0.094762	0.90003	0.432	0.6944	0.36811	0.56545
APPBP2	10	-0.23238	-2.4995	0.26	0.74074	0.012438	0.19136	0.14026	1.5103	0.306	0.60714	0.13096	0.30887
APTX	10	-0.23099	-1.5845	0.264	0.74095	0.11308	0.45414	-0.055153	-0.37859	0.974	0.98483	0.70499	0.83048
ARAP1	10	-0.086412	-0.84059	0.752	0.94921	0.40058	0.75947	0.13484	1.3119	0.32	0.61657	0.18954	0.38525
ARL3	10	0.14174	0.85193	0.279	0.75815	0.39426	0.75749	0.0040067	0.024073	0.785	0.90856	0.98079	0.99674
ASCL3	10	0.0030349	0.027935	0.852	0.95409	0.97771	0.99066	0.13007	1.1977	0.336	0.63158	0.23104	0.43346
ASF1B	10	0.011973	0.10358	0.814	0.94921	0.9175	0.97815	0.012177	0.10538	0.748	0.88626	0.91608	0.96126
ASNA1	10	-0.37002	-1.6552	0.058	0.46774	0.097878	0.43432	-0.7526	-3.3623	0.004	0.056338	0.00077292	0.0087832
ASUN	10	0.083092	0.3861	0.49	0.88909	0.69943	0.89965	-0.2447	-1.1347	0.328	0.62004	0.2565	0.45914
ATE1	10	0.25124	1.6183	0.085	0.5375	0.10559	0.4418	0.21032	1.3549	0.146	0.42075	0.17546	0.36629
ATF1	10	0.13661	1.0655	0.294	0.76562	0.28664	0.65395	0.09794	0.76397	0.423	0.69005	0.44489	0.63015
ATM	10	0.31011	2.0209	0.033	0.34737	0.043286	0.29669	0.33433	2.1789	0.026	0.17808	0.029335	0.12645
ATP1A3	10	0.064806	0.3673	0.575	0.92892	0.7134	0.90029	-0.2734	-1.5476	0.263	0.55932	0.12171	0.29816
ATPAF2	10	-0.3115	-1.8376	0.11	0.58031	0.06612	0.36609	-0.47975	-2.8299	0.052	0.25616	0.0046569	0.034753
ATXN2L	10	-0.16933	-1.1276	0.421	0.852	0.25947	0.62996	-0.096258	-0.64155	0.811	0.92792	0.52116	0.69212
AUP1	10	-0.081043	-0.67144	0.776	0.94921	0.50194	0.80002	0.072003	0.59669	0.504	0.73684	0.55071	0.71244
BAG1	10	-0.020789	-0.12867	0.954	0.98351	0.89762	0.97431	-0.34944	-2.1606	0.137	0.41018	0.030727	0.1291
BAIAP2L1	10	0.099641	0.64258	0.426	0.852	0.52049	0.8171	0.22029	1.4238	0.132	0.40491	0.15451	0.34032
BANP	10	-0.19351	-1.5687	0.35	0.79545	0.11671	0.45579	-0.16951	-1.3744	0.55	0.77247	0.16933	0.35799
BARD1	10	0.26978	2.0095	0.07	0.5035	0.044486	0.29669	0.095538	0.71156	0.43	0.6944	0.47674	0.66003
BAZ1B	10	-0.34176	-2.2035	0.081	0.5375	0.027561	0.24851	0.24531	1.5834	0.092	0.34074	0.11333	0.28405
BBX	10	0.21998	1.6479	0.125	0.59524	0.099372	0.43432	0.39733	2.9771	0.012	0.11504	0.0029097	0.024451
BCAS3	10	0.0058588	0.057189	0.84	0.94921	0.95439	0.98707	0.16722	1.6328	0.224	0.52706	0.10252	0.27294
BCL2L1	10	-0.20429	-1.0533	0.322	0.78417	0.29221	0.65395	-0.83278	-4.2499	0.002	0.034483	2.1383e-05	0.00048597
BCL9L	10	0.078526	0.44343	0.513	0.8931	0.65746	0.88606	0.29892	1.6894	0.045	0.24084	0.091134	0.25528
BDH1	10	0.24038	1.6527	0.099	0.57459	0.0984	0.43432	0.34074	2.3434	0.021	0.15108	0.01911	0.096028
BECN1	10	0.066608	0.54544	0.564	0.92459	0.58545	0.8491	0.094928	0.77745	0.432	0.6944	0.43689	0.62058
BHLHE40	10	0.18303	1.5178	0.181	0.65493	0.12906	0.46888	0.28988	2.4044	0.051	0.25616	0.0162	0.085261
BIN1	10	0.37546	2.3405	0.009	0.16981	0.019259	0.21639	0.4116	2.5663	0.008	0.096386	0.010279	0.061922
BLM	10	0.014057	0.072022	0.807	0.94921	0.94258	0.98707	0.1555	0.798	0.254	0.55098	0.42487	0.61398
BLZF1	10	0.19257	1.4226	0.159	0.62598	0.15487	0.50445	0.15836	1.1699	0.249	0.54725	0.24203	0.4475
BRAT1	10	-0.13971	-0.83859	0.526	0.89608	0.4017	0.75947	-0.19859	-1.1921	0.45	0.70312	0.23321	0.43591
BRCA2	10	-0.096811	-0.56126	0.708	0.94921	0.57462	0.84503	-0.27207	-1.577	0.264	0.55932	0.11479	0.28508
BRIX1	10	-0.083639	-0.59055	0.762	0.94921	0.55482	0.83647	-0.28238	-1.9934	0.245	0.54204	0.04622	0.16507
BRMS1L	10	-0.062958	-0.45561	0.856	0.95536	0.64867	0.88075	-0.053128	-0.38457	0.984	0.99094	0.70055	0.82898
BTBD8	10	0.092329	0.53271	0.448	0.86654	0.59424	0.85501	0.48034	2.7733	0.004	0.056338	0.0055494	0.039639
BTD	10	-0.018549	-0.11978	0.944	0.98351	0.90466	0.97431	-0.0070821	-0.045743	0.829	0.93251	0.96352	0.98218
BTG4	10	0.12699	1.0389	0.327	0.78417	0.29885	0.65395	-0.0063979	-0.052333	0.827	0.93251	0.95826	0.97882
BTK	10	0.17951	1.2585	0.189	0.65625	0.20822	0.57518	0.24826	1.7406	0.088	0.3346	0.081761	0.23699
C10orf114	10	-0.19071	-1.5086	0.356	0.80361	0.1314	0.46888	-0.08263	-0.65426	0.857	0.93559	0.51294	0.68833
C10orf118	10	0.096747	0.76922	0.433	0.85913	0.44176	0.78307	0.32219	2.5632	0.032	0.20513	0.010372	0.062109
C10orf137	10	0.31955	2.0928	0.03	0.33708	0.036368	0.27552	0.25219	1.6517	0.081	0.32016	0.098604	0.26802
