Gene	sgRNA	eff
ABCF1	ABCF1_m30539291	1
ABCF1	ABCF1_p30539251	1
ABCF1	ABCF1_p30539272	1
ABCF1	ABCF1_p30545181	1
ABCF1	ABCF1_p30545587	1
ABCF1	ABCF1_p30545605	1
ABCF1	ABCF1_p30545610	1
ABCF1	ABCF1_p30545638	1
ABCF1	ABCF1_p30545878	1
ABCF1	ABCF1_p30545888	1
ABLIM2	ABLIM2_m8108265	1
ABLIM2	ABLIM2_m8108274	1
ABLIM2	ABLIM2_m8108279	1
ABLIM2	ABLIM2_m8108294	1
ABLIM2	ABLIM2_m8108316	1
ABLIM2	ABLIM2_m8160405	1
ABLIM2	ABLIM2_p8108286	1
ABLIM2	ABLIM2_p8108299	1
ABLIM2	ABLIM2_p8108320	1
ABLIM2	ABLIM2_p8108331	1
ABTB1	ABTB1_m127395233	1
ABTB1	ABTB1_m127395403	1
ABTB1	ABTB1_m127395808	1
ABTB1	ABTB1_m127395813	1
ABTB1	ABTB1_m127395855	1
ABTB1	ABTB1_m127395860	1
ABTB1	ABTB1_p127395220	1
ABTB1	ABTB1_p127395242	1
ABTB1	ABTB1_p127395252	1
ABTB1	ABTB1_p127395834	1
ACAD9	ACAD9_m128598565	1
ACAD9	ACAD9_m128598607	1
ACAD9	ACAD9_m128598614	1
ACAD9	ACAD9_m128598631	1
ACAD9	ACAD9_m128598636	1
ACAD9	ACAD9_p128598519	1
ACAD9	ACAD9_p128598525	1
ACAD9	ACAD9_p128598545	1
ACAD9	ACAD9_p128598551	1
ACAD9	ACAD9_p128598592	1
ACSS2	ACSS2_m33470722	1
ACSS2	ACSS2_m33500924	1
ACSS2	ACSS2_m33500940	1
ACSS2	ACSS2_m33500955	1
ACSS2	ACSS2_m33501214	1
ACSS2	ACSS2_m33501222	1
ACSS2	ACSS2_p33470688	1
ACSS2	ACSS2_p33500893	1
ACSS2	ACSS2_p33500928	1
ACSS2	ACSS2_p33501184	1
ACTR8	ACTR8_m53916047	1
ACTR8	ACTR8_m53916057	1
ACTR8	ACTR8_m53916067	1
ACTR8	ACTR8_m53916073	1
ACTR8	ACTR8_m53916081	1
ACTR8	ACTR8_m53916091	1
ACTR8	ACTR8_m53916096	1
ACTR8	ACTR8_m53916103	1
ACTR8	ACTR8_m53916111	1
ACTR8	ACTR8_m53916121	1
ACVR2A	ACVR2A_m148602752	1
ACVR2A	ACVR2A_m148602767	1
ACVR2A	ACVR2A_m148653941	1
ACVR2A	ACVR2A_m148653961	1
ACVR2A	ACVR2A_p148602720	1
ACVR2A	ACVR2A_p148602754	1
ACVR2A	ACVR2A_p148653859	1
ACVR2A	ACVR2A_p148653946	1
ACVR2A	ACVR2A_p148653965	1
ACVR2A	ACVR2A_p148653997	1
ACVRL1	ACVRL1_m52306276	1
ACVRL1	ACVRL1_m52306307	1
ACVRL1	ACVRL1_m52306881	1
ACVRL1	ACVRL1_m52306910	1
ACVRL1	ACVRL1_m52306921	1
ACVRL1	ACVRL1_p52306245	1
ACVRL1	ACVRL1_p52306281	1
ACVRL1	ACVRL1_p52306287	1
ACVRL1	ACVRL1_p52306296	1
ACVRL1	ACVRL1_p52306883	1
ADAM10	ADAM10_m58974490	1
ADAM10	ADAM10_m59009777	1
ADAM10	ADAM10_m59009866	1
ADAM10	ADAM10_m59009883	1
ADAM10	ADAM10_m59041689	1
ADAM10	ADAM10_m59041696	1
ADAM10	ADAM10_p58974401	1
ADAM10	ADAM10_p58974481	1
ADAM10	ADAM10_p59009761	1
ADAM10	ADAM10_p59009767	1
ADAM12	ADAM12_m128018982	1
ADAM12	ADAM12_m128019019	1
ADAM12	ADAM12_m128019025	1
ADAM12	ADAM12_m128076635	1
ADAM12	ADAM12_m128076658	1
ADAM12	ADAM12_p128018991	1
ADAM12	ADAM12_p128019039	1
ADAM12	ADAM12_p128076618	1
ADAM12	ADAM12_p128076641	1
ADAM12	ADAM12_p128076650	1
ADARB1	ADARB1_m46591572	1
ADARB1	ADARB1_m46595675	1
ADARB1	ADARB1_m46595697	1
ADARB1	ADARB1_m46595715	1
ADARB1	ADARB1_m46595721	1
ADARB1	ADARB1_m46595779	1
ADARB1	ADARB1_p46595645	1
ADARB1	ADARB1_p46595700	1
ADARB1	ADARB1_p46595705	1
ADARB1	ADARB1_p46595724	1
ADCY1	ADCY1_m45614206	1
ADCY1	ADCY1_m45614243	1
ADCY1	ADCY1_m45614270	1
ADCY1	ADCY1_m45614323	1
ADCY1	ADCY1_p45614127	1
ADCY1	ADCY1_p45614255	1
ADCY1	ADCY1_p45614284	1
ADCY1	ADCY1_p45614294	1
ADCY1	ADCY1_p45614309	1
ADCY1	ADCY1_p45614315	1
AFAP1L2	AFAP1L2_m116092987	1
AFAP1L2	AFAP1L2_m116093045	1
AFAP1L2	AFAP1L2_m116100394	1
AFAP1L2	AFAP1L2_m116100466	1
AFAP1L2	AFAP1L2_p116092995	1
AFAP1L2	AFAP1L2_p116100376	1
AFAP1L2	AFAP1L2_p116100409	1
AFAP1L2	AFAP1L2_p116100418	1
AFAP1L2	AFAP1L2_p116100433	1
AFAP1L2	AFAP1L2_p116164194	1
AFF4	AFF4_m132272813	1
AFF4	AFF4_m132272826	1
AFF4	AFF4_m132272833	1
AFF4	AFF4_m132272841	1
AFF4	AFF4_m132272866	1
AFF4	AFF4_p132272747	1
AFF4	AFF4_p132272762	1
AFF4	AFF4_p132272771	1
AFF4	AFF4_p132272844	1
AFF4	AFF4_p132272853	1
AIMP1	AIMP1_m107249252	1
AIMP1	AIMP1_m107249322	1
AIMP1	AIMP1_p107246177	1
AIMP1	AIMP1_p107246187	1
AIMP1	AIMP1_p107246195	1
AIMP1	AIMP1_p107248680	1
AIMP1	AIMP1_p107249260	1
AIMP1	AIMP1_p107249309	1
AIMP1	AIMP1_p107252880	1
AIMP1	AIMP1_p107252893	1
AKNA	AKNA_m117143492	1
AKNA	AKNA_m117143569	1
AKNA	AKNA_m117143575	1
AKNA	AKNA_m117143585	1
AKNA	AKNA_p117143411	1
AKNA	AKNA_p117143426	1
AKNA	AKNA_p117143433	1
AKNA	AKNA_p117143511	1
AKNA	AKNA_p117143517	1
AKNA	AKNA_p117143593	1
ALKBH8	ALKBH8_m107427687	1
ALKBH8	ALKBH8_m107427703	1
ALKBH8	ALKBH8_m107427709	1
ALKBH8	ALKBH8_m107431492	1
ALKBH8	ALKBH8_m107431521	1
ALKBH8	ALKBH8_m107431562	1
ALKBH8	ALKBH8_p107427693	1
ALKBH8	ALKBH8_p107431481	1
ALKBH8	ALKBH8_p107431523	1
ALKBH8	ALKBH8_p107431585	1
ANG	ANG_m21161782	1
ANG	ANG_m21161790	1
ANG	ANG_m21161808	1
ANG	ANG_m21161824	1
ANG	ANG_m21161829	1
ANG	ANG_p21161710	1
ANG	ANG_p21161716	1
ANG	ANG_p21161743	1
ANG	ANG_p21161749	1
ANG	ANG_p21161835	1
ANKRD28	ANKRD28_m15762614	1
ANKRD28	ANKRD28_m15765934	1
ANKRD28	ANKRD28_m15765977	1
ANKRD28	ANKRD28_m15765997	1
ANKRD28	ANKRD28_m15776931	1
ANKRD28	ANKRD28_m15776981	1
ANKRD28	ANKRD28_p15762602	1
ANKRD28	ANKRD28_p15765918	1
ANKRD28	ANKRD28_p15776913	1
ANKRD28	ANKRD28_p15776985	1
ANKRD49	ANKRD49_m94230080	1
ANKRD49	ANKRD49_m94231243	1
ANKRD49	ANKRD49_m94231375	1
ANKRD49	ANKRD49_m94231441	1
ANKRD49	ANKRD49_p94229927	1
ANKRD49	ANKRD49_p94231228	1
ANKRD49	ANKRD49_p94231267	1
ANKRD49	ANKRD49_p94231331	1
ANKRD49	ANKRD49_p94231346	1
ANKRD49	ANKRD49_p94231408	1
ANLN	ANLN_m36435893	1
ANLN	ANLN_m36435899	1
ANLN	ANLN_m36435937	1
ANLN	ANLN_m36435949	1
ANLN	ANLN_m36435985	1
ANLN	ANLN_m36436013	1
ANLN	ANLN_p36435861	1
ANLN	ANLN_p36435878	1
ANLN	ANLN_p36435929	1
ANLN	ANLN_p36438739	1
AP5Z1	AP5Z1_m4820814	1
AP5Z1	AP5Z1_m4820843	1
AP5Z1	AP5Z1_p4815333	1
AP5Z1	AP5Z1_p4815342	1
