id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
NEU4	5	0.00039124	0.001698	0.443423	1	4	-1.1732	0.88962	0.88948	0.999441	830	1	-1.1732
4931428F04RIK	5	0.00049407	0.0021337	0.443423	2	3	-0.60658	0.66092	0.7589	0.999441	676	1	-0.60658
FLT3	5	0.00054443	0.002401	0.443423	3	2	-0.21536	0.5503	0.69534	0.999441	606	2	-0.21536
SLC35F4	5	0.00058636	0.0025792	0.443423	4	4	-1.3273	0.98919	0.98909	0.999441	978	0	-1.3273
MEF2C	5	0.00060954	0.0026782	0.443423	5	5	-0.74692	0.99939	0.99944	0.999441	1000	0	-0.74692
CCDC106	5	0.0007276	0.003104	0.443423	6	2	0.73568	0.086362	0.20769	0.999441	192	3	0.73568
PCDHB6	5	0.00072879	0.003104	0.443423	7	5	-0.84647	0.99927	0.99934	0.999441	999	0	-0.84647
CCDC102A	5	0.00090187	0.0039653	0.495668	8	5	-1.8149	0.99853	0.99858	0.999441	998	0	-1.8149
GPR149	5	0.0016326	0.0069554	0.734117	9	1	0.74393	0.09177	0.21678	0.999441	205	3	0.74393
4933402E13RIK	4	0.0021357	0.0081238	0.734117	10	3	-0.94115	0.43491	0.58236	0.999441	519	1	-0.94115
ANKS4B	5	0.0026951	0.01153	0.734117	11	4	-1.1594	0.99382	0.99364	0.999441	985	0	-1.1594
OLFR165	5	0.0027198	0.011609	0.734117	12	4	-0.86837	0.91139	0.9116	0.999441	863	0	-0.86837
HTR1B	5	0.0027911	0.011946	0.734117	13	5	-0.96061	0.99721	0.99725	0.999441	997	0	-0.96061
REEP1	4	0.0032184	0.011807	0.734117	14	4	-0.80289	0.99678	0.99693	0.999441	996	0	-0.80289
A530016L24RIK	5	0.003303	0.014223	0.734117	15	5	-0.48254	0.9967	0.99672	0.999441	995	0	-0.48254
BLMH	5	0.0035587	0.015193	0.734117	16	5	-0.56753	0.99644	0.99654	0.999441	994	0	-0.56753
CD86	5	0.003806	0.016134	0.734117	17	3	-0.61717	0.98089	0.98061	0.999441	966	0	-0.61717
RIT1	5	0.0038272	0.016272	0.734117	18	3	-0.95907	0.49172	0.64591	0.999441	557	2	-0.95907
AW146154	4	0.003915	0.014163	0.734117	19	3	-0.43519	0.92196	0.92114	0.999441	875	0	-0.43519
SERPINB12	5	0.004054	0.017015	0.734117	20	4	-0.97639	0.98405	0.98403	0.999441	972	0	-0.97639
2210415F13RIK	4	0.0042397	0.015243	0.734117	21	4	-0.98229	0.99576	0.99591	0.999441	993	0	-0.98229
ITGA10	5	0.0044292	0.018401	0.73604	22	5	-0.44293	0.99557	0.99578	0.999441	992	0	-0.44293
ZFP112	4	0.0046218	0.016569	0.734117	23	3	-1.0255	0.24218	0.38729	0.999441	372	1	-1.0255
PRPS1L3	3	0.0055441	0.014767	0.734117	24	1	0.0050612	0.35752	0.46662	0.999441	464	1	0.0050612
OLFR44	4	0.0058871	0.020817	0.782362	25	3	-0.76493	0.379	0.52423	0.999441	478	1	-0.76493
STARD13	5	0.0059756	0.023173	0.785314	26	2	-0.52911	0.49636	0.65002	0.999441	564	1	-0.52911
OLFR859	4	0.0059766	0.021124	0.782362	27	4	-0.55367	0.99402	0.99433	0.999441	987	0	-0.55367
4931406C07RIK	5	0.0060306	0.023332	0.785314	28	4	-0.76242	0.95807	0.9586	0.999441	933	0	-0.76242
DARC	5	0.0061187	0.023559	0.785314	29	4	-0.76347	0.92026	0.92079	0.999441	872	0	-0.76347
MNDAL	3	0.0066306	0.017619	0.734117	30	3	-1.4171	0.99337	0.99333	0.999441	983	0	-1.4171
MYOZ2	5	0.0070591	0.026302	0.786197	31	1	0.21614	0.91279	0.91314	0.999441	865	0	0.21614
VMN1R27	4	0.0071743	0.024965	0.786197	32	3	-1.0144	0.47791	0.61655	0.999441	546	1	-1.0144
CDC42BPA	5	0.0071762	0.026708	0.786197	33	4	-0.98562	0.99028	0.9899	0.999441	980	0	-0.98562
MXRA8	5	0.0081415	0.029559	0.786197	34	2	-0.071596	0.13136	0.27579	0.999441	259	1	-0.071596
OLFR473	4	0.0081434	0.028025	0.786197	35	2	-0.6115	0.49483	0.62365	0.999441	563	1	-0.6115
RBMX	5	0.0081494	0.029569	0.786197	36	3	-0.32896	0.75563	0.79963	0.999441	721	1	-0.32896
GRHPR	5	0.0089573	0.031668	0.786197	37	3	-1.2158	0.13136	0.27579	0.999441	260	2	-1.2158
FAM98B	4	0.009117	0.031124	0.786197	38	2	-0.076498	0.45695	0.60422	0.999441	534	2	-0.076498
