id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
PMPCB	5	2.721e-08	4.9505e-06	0.00099	1	4	-4.4769	0.47199	0.63035	0.999995	582	1	-4.4769
DDX27	5	1.9319e-07	4.9505e-06	0.00099	2	5	-4.7853	1.0	1.0	0.999995	1000	0	-4.7853
PSMD6	5	2.7462e-07	4.9505e-06	0.00099	3	5	-4.3464	0.99787	0.9979	0.999995	986	0	-4.3464
ORC6	4	5.584e-07	4.9505e-06	0.00099	4	4	-4.7794	1.0	1.0	0.999995	999	0	-4.7794
HARS	5	7.2685e-07	4.9505e-06	0.00099	5	5	-4.7221	1.0	1.0	0.999995	998	0	-4.7221
PSMB4	5	2.1014e-06	1.4851e-05	0.002122	6	5	-3.4927	0.99999	1.0	0.999995	997	0	-3.4927
UBA1	5	4.3803e-06	1.4851e-05	0.002122	7	4	-6.1155	0.9565	0.95699	0.999995	930	0	-6.1155
MASTL	4	5.1808e-05	0.00014356	0.017946	8	4	-4.7914	0.99995	0.99996	0.999995	996	0	-4.7914
VPS13D	5	0.00012736	0.0005198	0.057756	9	5	-2.8448	0.99974	0.99974	0.999995	994	0	-2.8448
MCM3	5	0.00016493	0.00071782	0.071782	10	4	-3.4746	0.85329	0.85937	0.999995	827	1	-3.4746
COQ4	5	0.00021017	0.00093564	0.082635	11	3	-3.3536	0.95605	0.95653	0.999995	929	0	-3.3536
NUP155	5	0.00023011	0.0010149	0.082635	12	4	-2.6518	0.96651	0.96684	0.999995	939	0	-2.6518
A630055G03RIK	5	0.00024438	0.0010743	0.082635	13	5	-2.5224	0.99976	0.99975	0.999995	995	0	-2.5224
GTF3C5	5	0.00035452	0.0015297	0.109264	14	4	-0.69968	0.60508	0.7413	0.999995	688	1	-0.69968
NIP7	5	0.00039048	0.001698	0.113201	15	4	-2.6864	0.87468	0.8768	0.999995	842	1	-2.6864
ERCC2	5	0.00054443	0.002401	0.144147	16	4	-1.3639	0.29788	0.49049	0.999995	464	1	-1.3639
IKBKAP	5	0.00055858	0.0024505	0.144147	17	4	-1.3925	0.91326	0.91364	0.999995	876	0	-1.3925
MRPS7	5	0.00065151	0.0028168	0.148775	18	5	-1.8262	0.99935	0.99942	0.999995	993	0	-1.8262
SEC24C	5	0.00065459	0.0028267	0.148775	19	5	-1.136	0.99935	0.99941	0.999995	992	0	-1.136
RABGGTA	5	0.00076457	0.0033119	0.155941	20	5	-2.9225	0.99841	0.99844	0.999995	988	0	-2.9225
TOP2A	5	0.00078505	0.0034307	0.155941	21	3	-3.3581	0.85562	0.8611	0.999995	829	1	-3.3581
MCMBP	4	0.00083221	0.0032129	0.155941	22	3	-3.1229	0.88187	0.88213	0.999995	852	0	-3.1229
MRPS18A	5	0.00084121	0.0037079	0.161214	23	3	-1.645	0.92787	0.92832	0.999995	895	0	-1.645
EIF3H	5	0.00088905	0.0039257	0.163573	24	4	-2.1999	0.95551	0.956	0.999995	927	0	-2.1999
BRF1	5	0.00096703	0.0041832	0.166984	25	5	-0.8483	0.99903	0.9991	0.999995	991	0	-0.8483
NARS2	5	0.0010842	0.0046287	0.167079	26	5	-1.2815	0.99892	0.999	0.999995	990	0	-1.2815
MKRN1	5	0.0010958	0.0046782	0.167079	27	4	-2.2084	0.98397	0.98394	0.999995	964	0	-2.2084
FECH	5	0.0014755	0.0063119	0.210396	28	5	-0.81121	0.99852	0.99858	0.999995	989	0	-0.81121
GLTSCR2	3	0.0015599	0.0043416	0.166984	29	2	-5.2485	0.8393	0.84064	0.999995	816	0	-5.2485
NME6	5	0.0016193	0.0069356	0.216739	30	4	-2.743	0.79174	0.81995	0.999995	781	1	-2.743
PRMT5	5	0.001719	0.0072921	0.217094	31	3	-1.3487	0.89111	0.89106	0.999995	856	1	-1.3487
KTI12	5	0.0017413	0.0073812	0.217094	32	5	-2.0286	0.99826	0.99829	0.999995	987	0	-2.0286
2610027L16RIK	5	0.0022026	0.0095297	0.261306	33	5	-1.6219	0.9978	0.99782	0.999995	985	0	-1.6219
MPHOSPH10	5	0.0022381	0.0096683	0.261306	34	5	-1.5504	0.99648	0.99655	0.999995	981	0	-1.5504
UBE2T	3	0.0025432	0.0069158	0.216739	35	3	-3.2284	0.98414	0.98423	0.999995	965	0	-3.2284
SOX2	5	0.0027198	0.011609	0.290223	36	3	-1.4451	0.58165	0.72229	0.999995	667	2	-1.4451
VMN1R143	2	0.00279	0.0056683	0.195459	37	2	-4.1726	0.99721	0.99723	0.999995	984	0	-4.1726
UROD	5	0.0029731	0.012649	0.3085	38	5	-2.6215	0.99703	0.99702	0.999995	983	0	-2.6215
RPL36A	4	0.0030722	0.011233	0.288017	39	3	-3.2929	0.66968	0.71245	0.999995	723	1	-3.2929
PALM	5	0.0032248	0.013866	0.330151	40	5	-1.5351	0.99678	0.99683	0.999995	982	0	-1.5351
SLC13A2	5	0.0036677	0.015569	0.362077	41	5	-0.99245	0.99633	0.99645	0.999995	980	0	-0.99245
TSC22D4	5	0.0038637	0.016431	0.368127	42	4	-2.9343	0.29376	0.48726	0.999995	460	1	-2.9343
CAR11	5	0.0041204	0.017262	0.368127	43	3	-2.7895	0.97163	0.9715	0.999995	947	0	-2.7895
GEMIN6	2	0.0041343	0.0083911	0.239745	44	2	-2.1705	0.99216	0.99175	0.999995	972	0	-2.1705
PLIN5	5	0.0041377	0.017302	0.368127	45	5	-1.0621	0.99586	0.99609	0.999995	979	0	-1.0621
DUT	5	0.0043488	0.018084	0.376753	46	2	-0.30608	0.49384	0.64843	0.999995	601	1	-0.30608
CDK11B	5	0.0045856	0.019035	0.388462	47	2	0.41925	0.19344	0.36695	0.986538	359	3	0.41925
MYO1G	5	0.0049435	0.020391	0.395373	48	5	-1.0024	0.99506	0.99527	0.999995	978	0	-1.0024
U2AF1L4	5	0.0050049	0.020559	0.395373	49	4	-1.3043	0.81287	0.83224	0.999995	794	1	-1.3043
LMLN	5	0.006645	0.02553	0.464536	50	4	-1.3283	0.94729	0.94758	0.999995	920	0	-1.3283
CPSF1	4	0.0073119	0.025302	0.464536	51	4	-1.4144	0.99269	0.99303	0.999995	973	0	-1.4144
KIF11	4	0.0073853	0.02555	0.464536	52	2	-0.057355	0.1946	0.34176	0.977861	361	2	-0.057355
S100PBP	5	0.0079746	0.029391	0.524841	53	4	-0.95891	0.99317	0.99292	0.999995	975	0	-0.95891
UCK1	5	0.0084493	0.030708	0.538735	54	3	-1.6887	0.163	0.32325	0.969336	321	1	-1.6887
SLC17A7	5	0.0086585	0.031262	0.539006	55	4	-1.8262	0.79391	0.82111	0.999995	782	1	-1.8262
RAD17	5	0.0091362	0.03245	0.550008	56	4	-1.1461	0.82236	0.83818	0.999995	804	1	-1.1461
2900026A02RIK	5	0.0095123	0.033371	0.550803	57	3	-2.3277	0.89538	0.89508	0.999995	864	1	-2.3277
BASP1	5	0.010206	0.035599	0.574178	58	3	-2.9047	0.9344	0.93506	0.999995	906	0	-2.9047
U2AF1	2	0.010428	0.020342	0.395373	59	1	-3.0047	0.55036	0.54949	0.999995	646	1	-3.0047
ARIH1	5	0.01049	0.036381	0.577479	60	4	-1.4062	0.87795	0.87965	0.999995	846	1	-1.4062
RPS4X	1	0.010564	0.010302	0.271105	61	1	-4.7948	0.98944	0.98955	0.999995	969	0	-4.7948
SMN1	5	0.011527	0.039292	0.604167	62	3	-1.0724	0.67401	0.76558	0.999995	726	1	-1.0724
KRR1	5	0.011771	0.040064	0.604167	63	4	-1.0342	0.85586	0.86126	0.999995	830	1	-1.0342
NPLOC4	5	0.011855	0.040292	0.604167	64	4	-1.0764	0.96683	0.9672	0.999995	940	0	-1.0764
TUBGCP4	5	0.012462	0.042025	0.604167	65	3	-0.62071	0.56243	0.70582	0.999995	656	1	-0.62071
MTIF2	5	0.012473	0.042045	0.604167	66	4	-1.7893	0.92126	0.92178	0.999995	886	0	-1.7893
LSM4	4	0.01266	0.042124	0.604167	67	3	-1.6479	0.82403	0.82489	0.999995	806	1	-1.6479
DCAF13	5	0.012947	0.043421	0.604167	68	3	-2.3002	0.26911	0.4679	0.999995	444	2	-2.3002
CHKA	5	0.012981	0.0435	0.604167	69	4	-1.0905	0.95918	0.95965	0.999995	932	0	-1.0905
VMN2R51	4	0.013005	0.043074	0.604167	70	3	-0.98639	0.74747	0.76261	0.999995	762	1	-0.98639
CCNI	4	0.013425	0.044322	0.607148	71	3	-1.6307	0.63906	0.69548	0.999995	707	1	-1.6307
XKR4	5	0.014051	0.0465	0.62	72	2	0.52597	0.15941	0.31786	0.969336	315	3	0.52597
ELP2	5	0.014655	0.048262	0.635031	73	3	-1.3201	0.98948	0.98935	0.999995	971	0	-1.3201
PTCD1	5	0.015027	0.049431	0.641957	74	3	-1.4216	0.36248	0.5432	0.999995	506	2	-1.4216
HIST1H2BF	1	0.016554	0.016767	0.368127	75	1	-5.5409	0.98345	0.98352	0.999995	963	0	-5.5409
UPF2	5	0.017139	0.055183	0.698521	76	3	-1.0959	0.16583	0.32745	0.969755	326	1	-1.0959
NCAM1	5	0.017444	0.056035	0.700433	77	4	-1.6195	0.2507	0.44619	0.999995	428	1	-1.6195
TAF1D	3	0.017925	0.045936	0.62	78	3	-2.0932	0.98208	0.98186	0.999995	962	0	-2.0932
PSMB3	2	0.018208	0.033599	0.550803	79	2	-1.2814	0.98179	0.98119	0.999995	961	0	-1.2814
PIF1	5	0.018487	0.058985	0.728212	80	4	-1.7665	0.97561	0.9754	0.999995	951	0	-1.7665
CUL2	5	0.0189	0.060025	0.732009	81	3	-0.91318	0.90411	0.90378	0.999995	869	0	-0.91318
PXMP4	5	0.019684	0.062064	0.745625	82	2	-0.26371	0.7303	0.78893	0.999995	752	1	-0.26371
