sgRNA	Gene	plasmid	ESC1
chr9:39484985-39485008	OLFR44	223.98450583722632	83.74508001026642
chr2:121178731-121178754	TUBGCP4	174.63198760190528	294.73917769847014
chr7:24407528-24407551	1500002O20RIK	87.31599380095264	34.80315013413669
chr18:10741108-10741131	MIB1	150.90481537338553	242.53445249726508
chr17:80227833-80227856	GEMIN6	518.201441470871	109.84744261086894
chr6:29534541-29534564	IRF5	175.58107449104605	315.4035480906138
chr3:87922381-87922404	MRPL24	353.0603227603737	126.16141923624551
chr8:88627643-88627666	SNX20	44.60708378961711	7.6131890918424014
chr12:119180994-119181017	ITGB8	471.6961839029724	763.4941060676238
chr2:181382830-181382853	LIME1	52.199778902743425	40.24114234259555
chr9:75052282-75052305	ARPP19	82.57055935524869	96.79626131056767
chr3:88326234-88326257	0610031J06RIK	125.27946936658422	224.04527898850498
chr2:32740453-32740476	6330409D20RIK	445.1217510070303	275.1624057480182
chr8:71543412-71543435	FAM125A	110.09407914033159	145.7381911866974
chr12:37398721-37398744	AGMO	100.60321024892369	140.30019897823854
chr2:167484176-167484199	SPATA2	88.26508069009343	172.9281522289917
chr3:95288344-95288367	FAM63A	69.28334290727764	29.365157925677835
chr17:27718181-27718204	SPDEF	97.75594958150133	213.16929457158724
chr7:19385669-19385692	ERCC2	268.5915896268434	206.6437039214366
chr1:58401426-58401449	BZW1	216.39181072410003	264.28642133110054
chr7:127019962-127019985	PRRT2	146.15938092768158	177.27854599575878
chr14:55719488-55719511	RABGGTA	120.53403492088027	5.437992208458859
chr7:109766559-109766582	NRIP3	41.75982312219474	50.029528317821494
chr2:21194424-21194447	ENKUR	587.4847843781487	977.7509990809027
chr1:87475045-87475068	3110079O15RIK	82.57055935524869	30.452756367369606
chr1:106946657-106946680	SERPINB12	120.53403492088027	152.26378183684804
chr6:93755040-93755063	MAGI1	45.556170678757894	84.83267845195819
chr2:111565199-111565222	OLFR1295	354.0094096495145	540.5364255208106
chr4:92146746-92146769	IZUMO3	191.71555160643948	105.49704884410185
chr5:3957687-3957710	AKAP9	132.87216447971053	315.4035480906138
chr13:100633453-100633476	RAD17	179.37742204760923	40.24114234259555
chr9:38727081-38727104	VWA5A	114.83951358603554	117.46063170271134
chr1:74475036-74475059	USP37	93.95960202493816	96.79626131056767
chr11:82742103-82742126	CCT6B	91.11234135751579	4.350393766767087
chr2:29788492-29788515	COQ4	337.87493253412106	342.5935091329081
chr15:89126959-89126982	HDAC10	140.46485959283686	174.01575067068347
chr14:47381670-47381693	LGALS3	293.26784874450397	588.3907569552484
chr6:127923647-127923670	TSPAN11	268.5915896268434	308.87795744046315
chr9:36788234-36788257	EI24	121.48312181002106	176.190947554067
chr16:36618484-36618507	CD86	115.78860047517632	243.62205093895685
chr15:39124474-39124497	DCAF13	77.82512490954474	1.0875984416917717
chr12:119192087-119192110	ITGB8	520.0996152491526	549.2372130543447
chr18:34611225-34611248	BRD8	46.50525756789869	112.02263949425249
chr2:110794998-110795021	ANO3	108.19590536205001	47.85433143443795
chr1:135918796-135918819	PKP1	80.67238557696712	145.7381911866974
chr9:22026613-22026636	ELAVL3	130.02490381228816	221.8700821051214
chr2:111229240-111229263	4930430A15RIK	51.25069201360264	98.97145819395122
chr19:12674307-12674330	OLFR1442	681.4443864030869	1035.3937164905667
chr2:51952785-51952808	NMI	113.89042669689475	133.7746083280879
chr9:123662984-123663007	SLC6A20A	150.90481537338553	139.21260053654677
chr11:70135131-70135154	MGL2	560.9103514822066	597.0915444887827
chr2:112627802-112627825	AVEN	70.23242979641843	89.18307221872527
chr3:30896109-30896132	GPR160	20.87991156109737	0.0
chr10:108642363-108642386	SYT1	116.73768736431711	105.49704884410185
chrX:9905613-9905636	SYTL5	90.163254468375	137.03740365316324
chr3:36952138-36952161	4932438A13RIK	416.6491443328066	395.8858327758049
chr2:104727148-104727171	DEPDC7	86.36690691181185	230.57086963865558
chr18:35739400-35739423	TMEM173	94.90868891407895	42.416339225979094
chr7:28837634-28837657	LGALS4	90.163254468375	134.86220676977968
chr7:24542233-24542256	2310033E01RIK	233.47537472863422	192.50492417944358
chr11:102155750-102155773	TMEM101	111.99225291861316	79.39468624349934
chr5:107723247-107723270	GFI1	93.01051513579738	107.67224572748539
chr6:32239477-32239500	PLXNA4	94.90868891407895	160.9645693703822
chr13:91770166-91770189	ACOT12	151.85390226252633	97.88385975225945
chr14:47380136-47380159	LGALS3	62.63973468329211	23.927165717218976
chr10:62480561-62480584	VPS26A	143.3121202602592	156.6141756036151
chr11:84118293-84118316	TADA2A	143.3121202602592	171.8405537872999
chr9:48393404-48393427	FAM55D	200.2573336087066	225.13287743019674
chr19:5951672-5951695	POLA2	74.02877735298158	21.751968833835434
chr2:36127179-36127202	RBM18	649.1754321723	882.0423362120268
chr11:95265262-95265285	TAC4	102.50138402720528	65.2559065015063
chr6:124861379-124861402	GPR162	270.489763405125	103.3218519607183
chr18:84871599-84871622	CYB5	79.72329868782631	53.29232364289681
chr18:43766737-43766760	SCGB3A2	184.12285649331318	213.16929457158724
chr8:85303423-85303446	ORC6	104.39955780548685	3.262795325075315
chr1:166269434-166269457	ILDR2	88.26508069009343	93.53346598549237
chr17:46122789-46122812	MRPS18A	32.268954230786846	29.365157925677835
chr14:70579103-70579126	NUDT18	31.319867341646056	39.15354390090378
chr9:65588380-65588403	PIF1	152.8029891516671	146.82578962838917
chr7:48389126-48389149	MRGPRB8	150.90481537338553	185.97933352929294
chr7:13401354-13401377	CABP5	319.84228164044606	382.8346514755036
chr10:86338357-86338380	TIMP3	289.4715011879408	293.65157925677835
chr10:121568109-121568132	TBK1	105.34864469462764	51.11712675951327
chr2:130394382-130394405	CPXM1	122.43220869916185	166.40256157884107
chr18:62986231-62986254	NAPG	149.95572848424476	107.67224572748539
chr5:104337434-104337457	MEPE	41.75982312219474	21.751968833835434
chr15:76408506-76408529	HEATR7A	78.77421179868553	40.24114234259555
chr5:107413038-107413061	EPHX4	88.26508069009343	61.993111176430986
chr4:103026557-103026580	INSL5	88.26508069009343	48.94192987612973
chr4:117891086-117891109	DPH2	27.523519785082897	0.0
chr1:85091177-85091200	A530032D15RIK	82.57055935524869	97.88385975225945
chr8:85303350-85303373	ORC6	207.8500287218329	43.50393766767087
chr11:69357000-69357023	CHD3	40.81073623305395	137.03740365316324
chr11:23349183-23349206	USP34	37.01438867649079	31.540354809061377
chr7:64320612-64320635	MTMR10	121.48312181002106	227.30807431358028
chr6:124809430-124809453	SPSB2	59.79247401586974	57.642717409663895
chr15:6458199-6458222	C9	206.90094183269213	268.6368150978676
chr10:61117693-61117716	SGPL1	161.34477115393423	116.37303326101957
chrX:8272688-8272711	SLC38A5	93.95960202493816	138.125002094855
chr15:77488601-77488624	APOL10A	567.5539597061921	714.552176191494
chr7:24140557-24140580	ZFP235	208.7991156109737	500.29528317821496
chr11:115935376-115935399	SAP30BP	203.10459427612895	39.15354390090378
chr1:118855587-118855610	GLI2	81.6214724661079	73.95669403504047
chr6:72417897-72417920	GGCX	81.6214724661079	79.39468624349934
chr17:37020558-37020581	MOG	220.18815828066317	159.87697092869044
chr8:13048252-13048275	F10	167.98837937791976	210.9940976882037
chr18:67645998-67646021	PSMG2	177.47924826932766	52.20472520120504
chr6:58215212-58215235	VMN1R27	68.33425601813684	167.49016002053284
chr6:93747215-93747238	MAGI1	75.92695113126317	134.86220676977968
chr14:32096545-32096568	OXNAD1	631.1427812786251	935.3346598549236
chr13:32724838-32724861	MYLK4	51.25069201360264	52.20472520120504
chr13:21526822-21526845	ZFP192	105.34864469462764	117.46063170271134
chr2:88559951-88559974	OLFR1188	119.58494803173949	147.91338807008094
chr9:107900397-107900420	MON1A	289.4715011879408	371.9586670585859
chr5:145165068-145165091	PTCD1	69.28334290727764	11.963582858609488
chr7:101902127-101902150	TOMT	82.57055935524869	38.06594545921201
chr15:3347470-3347493	GHR	77.82512490954474	91.35826910210882
chr3:144201866-144201889	LMO4	62.63973468329211	48.94192987612973
chr2:180971643-180971666	ARFGAP1	63.5888215724329	30.452756367369606
chr11:86944669-86944692	YPEL2	32.268954230786846	13.05118130030126
chr10:75928375-75928398	MMP11	74.97786424212238	91.35826910210882
chr16:14093943-14093966	2900011O08RIK	143.3121202602592	349.1190997830587
chr19:20621717-20621740	ALDH1A1	167.03929248877895	254.49803535587458
chr17:72848632-72848655	YPEL5	74.97786424212238	78.30708780180755
chr19:5951709-5951732	POLA2	213.54455005667765	150.08858495346448
chr18:67648781-67648804	PSMG2	74.97786424212238	69.60630026827339
chr15:39118822-39118845	DCAF13	63.5888215724329	107.67224572748539
chr3:55117725-55117748	SPG20	48.40343134618027	54.379922084588586
chr1:188983038-188983061	KCTD3	145.2102940385408	52.20472520120504
chr2:110880857-110880880	ANO3	388.1765376585829	377.39665926704475
chr7:122762220-122762243	CACNG3	290.4205880770816	257.7608306809499
chr2:88592224-88592247	OLFR1189	116.73768736431711	106.58464728579362
chr2:51148254-51148277	RND3	96.80686269236054	51.11712675951327
chr5:111420003-111420026	MN1	68.33425601813684	58.73031585135567
chr13:30886270-30886293	EXOC2	138.56668581455529	94.62106442718414
chr6:124540347-124540370	C1S	68.33425601813684	109.84744261086894
chr6:57844017-57844040	VMN1R21	917.7670217991434	919.0206832295471
chr17:46687972-46687995	PPP2R5D	167.03929248877895	88.0954737770335
chr3:107968175-107968198	GSTM3	62.63973468329211	80.4822846851911
chr10:79665011-79665034	MADCAM1	28.472606674223687	16.313976625376576
chr10:60292513-60292536	PSAP	203.10459427612895	338.243115366141
chrX:101083869-101083892	SLC7A3	236.3226353960566	291.4763823733948
chr7:19697543-19697566	APOE	77.82512490954474	44.591536109362636
chr5:88463318-88463341	AMBN	76.87603802040395	102.23425351902654
chr17:29568454-29568477	TBC1D22B	185.07194338245395	267.5492166561758
chr1:86669848-86669871	NPPC	263.84615518113947	234.92126340542268
chr9:59486220-59486243	ARIH1	413.80188366538425	290.388783931703
chr11:95265272-95265295	TAC4	249.60985184402765	245.7972478223404
chr2:154133627-154133650	BPIFA3	201.20642049784738	157.7017740453069
chr15:84693794-84693817	PRR5	145.2102940385408	287.12598860662774
chr7:64389789-64389812	MPHOSPH10	63.5888215724329	3.262795325075315
chr11:69188693-69188716	ALOX8	69.28334290727764	94.62106442718414
chr9:39511278-39511301	OLFR957	221.13724516980398	433.9517782350169
chr2:44065060-44065083	ARHGAP15	319.84228164044606	561.2007959129542
chr8:25986373-25986396	4930444A02RIK	48.40343134618027	43.50393766767087
chr8:69707168-69707191	ZFP869	80.67238557696712	56.55511896797213
chr16:4551324-4551347	TFAP4	104.39955780548685	130.5118130030126
chr6:39404743-39404766	MKRN1	164.19203182135658	64.16830805981454
chr17:47820901-47820924	MDFI	348.31488831466976	506.8208738283656
chr6:124700037-124700060	LPCAT3	104.39955780548685	18.489173508760118
chr18:34613031-34613054	BRD8	73.07969046384079	29.365157925677835
chr1:20816742-20816765	MCM3	66.43608223985527	90.27067066041705
chr5:143244364-143244387	ZFP12	105.34864469462764	166.40256157884107
chr7:45322052-45322075	TRPM4	36.06530178735	63.080709618122754
chr1:164256951-164256974	SLC19A2	147.10846781682238	205.55610547974484
chr7:122671942-122671965	CACNG3	34.16712800906842	27.189961042294293
chr2:28671847-28671870	TSC1	116.73768736431711	46.766732992746185
chr10:123593579-123593602	FAM19A2	95.85777580321974	118.5482301444031
chr14:14120148-14120171	PSMD6	124.33038247744344	0.0
chr8:69708337-69708360	ZFP869	81.6214724661079	75.04429247673224
chr8:4186092-4186115	EVI5L	41.75982312219474	93.53346598549237
chr2:127541144-127541167	PROM2	6.6436082239855265	9.788385975225944
chr2:130396450-130396473	CPXM1	193.61372538472108	109.84744261086894
chr7:105481970-105481993	PRKCDBP	125.27946936658422	135.94980521147147
chr7:100938951-100938974	P2RY6	71.18151668555922	65.2559065015063
chr1:65117155-65117178	D630023F18RIK	290.4205880770816	395.8858327758049
chr15:6467418-6467441	C9	186.97011716073553	214.256893013279
chr10:108642348-108642371	SYT1	252.45711251145002	193.59252262113534
chr7:24229797-24229820	ZFP109	114.83951358603554	277.33760263140175
chr3:14645195-14645218	CAR13	107.24681847290921	216.43208989666257
chr15:43495202-43495225	TTC35	75.92695113126317	53.29232364289681
chr15:47970056-47970079	CSMD3	465.0525756789869	588.3907569552484
chr17:27720017-27720040	SPDEF	153.7520760408079	123.98622235286197
chr13:97198027-97198050	HEXB	37.01438867649079	112.02263949425249
chr6:124537366-124537389	C1S	210.69728938925527	197.94291638790244
chr10:85184328-85184351	CRY1	86.36690691181185	32.62795325075315
chr7:24123926-24123949	ZFP112	304.65689141419347	557.9380005878788
chr11:59208955-59208978	2310033P09RIK	403.36192788483555	713.4645777498022
chr17:33433425-33433448	ACTL9	167.03929248877895	339.33071380783275
chr2:21194429-21194452	ENKUR	98.70503647064211	119.63582858609489
chr4:42956518-42956541	DNAJB5	38.91256245477237	7.6131890918424014
chr13:70793151-70793174	ADAMTS16	127.1776431448658	344.7687060162916
chr3:94886534-94886557	PSMB4	254.3552862897316	39.15354390090378
chr9:110548720-110548743	SETD2	84.46873313353026	159.87697092869044
chr4:73402010-73402033	GM11487	107.24681847290921	176.190947554067
chr5:142961095-142961118	FSCN1	21.82899845023816	26.10236260060252
chr7:101902054-101902077	TOMT	132.87216447971053	78.30708780180755
chr19:28897545-28897568	SLC1A1	18.032650893675	54.379922084588586
chr7:24405699-24405722	1500002O20RIK	124.33038247744344	170.75295534560814
chr4:129654851-129654874	KPNA6	93.01051513579738	90.27067066041705
chr4:144715387-144715410	GM13178	174.63198760190528	139.21260053654677
chr10:85148727-85148750	CRY1	72.1306035747	100.05905663564299
chr14:32095420-32095443	OXNAD1	63.5888215724329	7.6131890918424014
chr6:32517182-32517205	PLXNA4	60.74156090501053	65.2559065015063
chr2:87033736-87033759	OLFR1105	97.75594958150133	108.75984416917717
chr4:96553310-96553333	CYP2J6	23.727172228519738	22.839567275527205
chr9:19808666-19808689	OLFR859	83.51964624438948	151.17618339515627
chr13:30224512-30224535	MBOAT1	46.50525756789869	18.489173508760118
chr5:107911756-107911779	FAM69A	407.1582754413987	345.8563044579834
chr16:93683547-93683570	CBR3	117.6867742534579	210.9940976882037
chr2:154206458-154206481	BPIFB1	38.91256245477237	52.20472520120504
chr1:132417760-132417783	DSTYK	36.06530178735	28.277559483986064
chr11:97703963-97703986	PSMB3	480.2379659052395	179.4537428791423
chr2:121175426-121175449	TUBGCP4	48.40343134618027	48.94192987612973
chr11:32415951-32415974	SH3PXD2B	169.88655315620133	152.26378183684804
chr8:88627754-88627777	SNX20	24.67625911766053	60.90551273473921
chr16:22868743-22868766	DNAJB11	331.23132431013556	475.2805190193042
chr5:53065516-53065539	SLC34A2	143.3121202602592	166.40256157884107
chr12:110813513-110813536	STK30	182.22468271503158	183.8041366459094
chr9:61409385-61409408	TLE3	219.23907139152237	262.11122444771695
chr9:44784381-44784404	IFT46	122.43220869916185	94.62106442718414
chr8:4187266-4187289	EVI5L	13.287216447971053	2.1751968833835433
chrX:74021930-74021953	IRAK1	153.7520760408079	132.68700988639614
chr7:41481084-41481107	AW146154	156.59933670823028	215.34449145497078
chr19:20620004-20620027	ALDH1A1	740.2877735298158	1097.3868276669975
chr16:56822343-56822366	TMEM45A	232.52628783949345	230.57086963865558
chr15:54588467-54588490	MAL2	138.56668581455529	276.25000418971
chr19:34474907-34474930	CH25H	381.5329294345974	443.7401642102428
chr6:40494051-40494074	TAS2R108	83.51964624438948	120.72342702778666
chr16:32806725-32806748	GM933	149.95572848424476	94.62106442718414
chr12:85631631-85631654	JDP2	59.79247401586974	41.32874078428733
chr18:24606885-24606908	ELP2	286.6242405205184	114.19783637763602
chr5:103876153-103876176	KLHL8	462.2053150115645	933.15946297154
chr11:97316858-97316881	MRPL45	66.43608223985527	38.06594545921201
chr7:17093655-17093678	PSG16	96.80686269236054	205.55610547974484
chr2:156312171-156312194	SCAND1	52.199778902743425	30.452756367369606
chr11:99948621-99948644	KRTAP9-5	165.14111871049738	252.32283847249101
chr6:128404948-128404971	NRIP2	41.75982312219474	28.277559483986064
chr17:36773274-36773297	H2-M10.5	59.79247401586974	40.24114234259555
chr4:148043451-148043474	MTHFR	98.70503647064211	275.1624057480182
chrX:134586086-134586109	RPL36A	53.14886579188421	84.83267845195819
chrX:86785320-86785343	IL1RAPL1	59.79247401586974	68.51870182658162
chr7:30564249-30564272	U2AF1L4	106.29773158376842	43.50393766767087
chr8:66704048-66704071	NPY1R	149.00664159510396	315.4035480906138
chr7:64314160-64314183	MTMR10	121.48312181002106	28.277559483986064
chr2:136773918-136773941	SNAP25	52.199778902743425	63.080709618122754
chr11:58386800-58386823	2210415F13RIK	148.05755470596316	308.87795744046315
chr8:70132578-70132601	NR2C2AP	103.45047091634606	59.817914293047444
chr11:43682551-43682574	PWWP2A	63.5888215724329	30.452756367369606
chr13:46289670-46289693	GM1574	865.5672428964001	1013.6417476567312
chr4:44019936-44019959	CLTA	139.51577270369606	121.81102546947842
chr3:95292123-95292146	FAM63A	116.73768736431711	150.08858495346448
chr8:86548603-86548626	ABCC12	71.18151668555922	133.7746083280879
chr17:46198732-46198755	POLH	354.0094096495145	586.215560071865
chr12:75925384-75925407	SYNE2	204.05368116526975	117.46063170271134
chr12:37242145-37242168	AGMO	81.6214724661079	141.3877974199303
chr15:77488618-77488641	APOL10A	142.36303337111843	383.9222499171954
chr8:41272362-41272385	PCM1	123.38129558830263	132.68700988639614
chrX:66654082-66654105	SLITRK2	93.01051513579738	68.51870182658162
chr18:3414199-3414222	CUL2	93.01051513579738	113.11023793594426
chr11:99016508-99016531	TOP2A	107.24681847290921	98.97145819395122
chr15:76600469-76600492	CPSF1	119.58494803173949	15.226378183684803
chr6:121649813-121649836	A2M	53.14886579188421	93.53346598549237
chr16:10966416-10966439	LITAF	186.97011716073553	233.8336649637309
chr6:58215863-58215886	VMN1R27	112.94133980775395	244.7096493806486
chr18:36772304-36772327	HARS	68.33425601813684	3.262795325075315
chr9:122368038-122368061	ABHD5	43.65799690047632	9.788385975225944
chr2:154130651-154130674	BPIFA3	153.7520760408079	252.32283847249101
chr9:110450708-110450731	KLHL18	125.27946936658422	80.4822846851911
chr3:158202424-158202447	LRRC7	105.34864469462764	120.72342702778666
chr17:34932733-34932756	NEU1	79.72329868782631	53.29232364289681
chr6:91988214-91988237	FGD5	105.34864469462764	67.43110338488984
