sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
chr7:5059571-5059594	CCDC106	0.94909	29.365	0.94909	29.365	3.9615	403.74	1.8735	20.761	1	6.5143e-96	1.3029e-95	5.988e-92	True
chr15:54746281-54746304	NOV	7.5927	108.76	7.5927	108.76	3.6751	5117.4	28.697	18.885	1	8.1769e-80	1.6354e-79	3.7581e-76	True
chr5:147366973-147366996	FLT3	78.774	593.83	78.774	593.83	2.8985	1.3264e+05	791.14	18.312	1	3.3481e-75	6.6962e-75	1.0259e-71	True
chr1:173332668-173332691	DARC	0	20.664	0.94909	20.664	3.4745	213.51	1.8735	14.404	1	3.239e-47	6.4779e-47	7.4431e-44	True
chr8:72109978-72110001	OLFR374	17.084	129.42	17.084	129.42	2.8505	6310.2	88.558	11.938	1	3.8947e-33	7.7895e-33	7.1601e-30	True
chr12:85631657-85631680	JDP2	3.7963	41.329	3.7963	41.329	3.1416	704.34	11.236	11.197	1	2.4162e-29	4.8324e-29	3.7016e-26	True
chr8:94913097-94913120	CCDC102A	3.7963	40.241	3.7963	40.241	3.1041	664.11	11.236	10.873	1	8.9264e-28	1.7853e-27	1.1722e-24	True
chr3:123026142-123026165	MYOZ2	52.2	264.29	52.2	264.29	2.3181	22490	435.78	10.16	1	1.5106e-24	3.0212e-24	1.7357e-21	True
chr12:57238700-57238723	PRPS1L3	47.454	244.71	47.454	244.71	2.3423	19455	379.8	10.122	1	2.2322e-24	4.4645e-24	2.2799e-21	True
chr16:19407756-19407779	OLFR165	91.112	404.59	91.112	404.59	2.1385	49133	977.78	10.025	1	5.9325e-24	1.1865e-23	5.4532e-21	True
chr8:105285050-105285073	4931428F04RIK	30.371	167.49	30.371	167.49	2.4252	9400.9	200.21	9.6907	1	1.6772e-22	3.3544e-22	1.4015e-19	True
chr12:37243764-37243787	AGMO	41.76	212.08	41.76	212.08	2.3171	14505	315.97	9.5818	1	4.8122e-22	9.6244e-22	3.6861e-19	True
chr7:28782775-28782798	SIRT2	31.32	164.23	31.32	164.23	2.354	8832.2	209.2	9.1889	1	2.0147e-20	4.0294e-20	1.4245e-17	True
