sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
chr7:19387343-19387366	ERCC2	0	289.47	1.0876	289.47	7.1204	41897	2.2222	193.45	1	0	0	0	True
chr14:14120148-14120171	PSMD6	0	124.33	1.0876	124.33	5.9077	7729	2.2222	82.673	1	0	0	0	True
chr2:125249171-125249194	DUT	1.0876	124.33	1.0876	124.33	5.9077	7594.4	2.2222	82.673	1	0	0	0	True
chr2:23155677-23155700	MASTL	1.0876	111.04	1.0876	111.04	5.7461	6045.1	2.2222	73.76	1	0	0	0	True
chr12:112972260-112972283	BRF1	0	107.25	1.0876	107.25	5.6963	5750.9	2.2222	71.213	1	0	0	0	True
chr14:54516170-54516193	PRMT5	0	102.5	1.0876	102.5	5.6317	5253.3	2.2222	68.03	1	0	0	0	True
chr2:121173597-121173620	TUBGCP4	0	95.858	1.0876	95.858	5.536	4594.4	2.2222	63.573	1	0	0	0	True
chr11:99012009-99012032	TOP2A	0	92.061	1.0876	92.061	5.4783	4237.7	2.2222	61.027	1	0	0	0	True
chr15:8117325-8117348	NUP155	1.0876	92.061	1.0876	92.061	5.4783	4138.1	2.2222	61.027	1	0	0	0	True
chr7:10099870-10099893	VMN2R51	0	90.163	1.0876	90.163	5.4485	4064.7	2.2222	59.754	1	0	0	0	True
chr7:22190227-22190250	VMN1R143	1.0876	90.163	1.0876	90.163	5.4485	3967.2	2.2222	59.754	1	0	0	0	True
chrX:20670262-20670285	UBA1	0	89.214	1.0876	89.214	5.4334	3979.6	2.2222	59.117	1	0	0	0	True
chr14:14120756-14120779	PSMD6	0	88.265	1.0876	88.265	5.4182	3895.4	2.2222	58.48	1	0	0	0	True
chr4:145178022-145178045	VPS13D	0	87.316	1.0876	87.316	5.4028	3812	2.2222	57.844	1	0	0	0	True
chr2:28573486-28573509	GTF3C5	1.0876	87.316	1.0876	87.316	5.4028	3717.7	2.2222	57.844	1	0	0	0	True
chr5:21743449-21743472	PMPCB	0	83.52	1.0876	83.52	5.3394	3487.8	2.2222	55.297	1	0	0	0	True
